名称,名称(英語),設置場所,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
荏原第一中学校,"",荏原第一中学校,東京都品川区荏原1-24-30,35.619447,139.712868,"","","","","",""
荏原在宅サービスセンター,"",荏原在宅サービスセンター,東京都品川区荏原2-9-6,35.617091,139.711112,"","","","","",""
荏原保健センター,"",荏原保健センター,東京都品川区荏原2-9-6,35.617091,139.711112,"","","","","",""
荏原保育園,"",荏原保育園,東京都品川区荏原2-16-18,35.616736,139.708921,"","","","","",""
平塚幼稚園,"",平塚幼稚園,東京都品川区荏原4-5-22,35.61503,139.707691,"","","","","",""
荏原西保育園,"",荏原西保育園,東京都品川区荏原4-16-11,35.61393,139.706113,"","","","","",""
荏原区民センター,"",荏原区民センター,東京都品川区荏原5-6-5,35.614536,139.702126,"","","","","",""
荏原第二地域センター,"",荏原第二地域センター,東京都品川区荏原6-17-12,35.611062,139.70442,"","","","","",""
清水台保育園,"",清水台保育園,東京都品川区荏原7-8-3,35.611706,139.701497,"","","","","",""
大井町行政サービスコーナー,"",大井町行政サービスコーナー,東京都品川区大井1-2-1 ,35.606182,139.734892,"","","","","",""
品川観光協会,"",品川観光協会,東京都品川区大井1-14-1 ,35.607696,139.731458,"","","","","",""
一本橋児童センター,"",一本橋児童センター,東京都品川区大井2-25-1,35.604652,139.729634,"","","","","",""
大井第二地域センター,"",大井第二地域センター,東京都品川区大井2-27-20,35.604091,139.730384,"","","","","",""
山中小学校,"",山中小学校,東京都品川区大井3-7-19,35.602788,139.729925,"","","","","",""
大井倉田児童センター,"",大井倉田児童センター,東京都品川区大井4-11-34,35.602358,139.733692,"","","","","",""
大井在宅サービスセンター,"",大井在宅サービスセンター,東京都品川区大井4-14-8,35.60188,139.732825,"","","","","",""
伊藤学園,"",伊藤学園,東京都品川区大井5-1-37,35.600152,139.726095,"","","","","",""
滝王子保育園,"",滝王子保育園,東京都品川区大井5-18-1,35.598072,139.727712,"","","","","",""
大井図書館,"",大井図書館,東京都品川区大井5-19-14,35.598219,139.728989,"","","","","",""
大井第一小学校,"",大井第一小学校,東京都品川区大井6-1-32,35.598722,139.731187,"","","","","",""
品川歴史館,"",品川歴史館,東京都品川区大井6-11-1,35.596733,139.730157,"","","","","",""
大崎図書館,"",大崎図書館,東京都品川区大崎2-4-8,35.618575,139.725714,"","","","","",""
大崎シルバーセンター,"",大崎シルバーセンター,東京都品川区大崎2-7-13,35.616692,139.726106,"","","","","",""
大崎第二地域センター,"",大崎第二地域センター,東京都品川区大崎2-9-4,35.616944,139.727572,"","","","","",""
芳水小学校,"",芳水小学校,東京都品川区大崎3-12-22,35.619255,139.724717,"","","","","",""
大崎保育園,"",大崎保育園,東京都品川区大崎5-2-1,35.621949,139.726365,"","","","","",""
なぎさ会館,"",なぎさ会館,東京都品川区勝島3-1-3,35.596317,139.74173,"","","","","",""
しながわ水族館,"",しながわ水族館,東京都品川区勝島3-2-1,35.588476,139.737501,"","","","","",""
しながわ区民公園管理詰所,"",しながわ区民公園管理詰所,東京都品川区勝島3-2-2,35.5928,139.738653,"","","","","",""
しながわ区民公園プール管理棟,"",しながわ区民公園プール管理棟,東京都品川区勝島3-2-2,35.5928,139.738653,"","","","","",""
上大崎シルバーセンター,"",上大崎シルバーセンター,東京都品川区上大崎1-3-12,35.634598,139.722075,"","","","","",""
第三日野小学校,"",第三日野小学校,東京都品川区上大崎1-19-19,35.632801,139.723819,"","","","","",""
品川宿交流館,"",品川宿交流館,東京都品川区北品川1-2-6,35.622652,139.739554,"","","","","",""
大崎在宅サービスセンター,"",大崎在宅サービスセンター,東京都品川区北品川1-16-5,35.624186,139.743698,"","","","","",""
北品川シルバーセンター,"",北品川シルバーセンター,東京都品川区北品川1-29-12,35.620533,139.741771,"","","","","",""
